tag,model,mode,freq,size_mb,storage,network,num_iterations,wall_time_cycles,gpu_time_cycles,comm_time_cycles,overlap_cycles,baseline_wall_time_cycles,overhead_pct,astra_returncode,sim_seconds,trace_key,workload
main,gpt_medium,checkfreq_like,50,5000,nvme_std,network_8_balanced,200,90115357604,1747781604,88367576000,0,88367729600,1.97768,0,12.05,gpt_medium_checkfreq_like_n50_sz5000MB_nvme_std_200iter_2ee6fe28e0,transformer_8dp_1pp_1tp_64B_2048S_32000V_2048d_2b_100scale_200iter
main,gpt_medium,sync,50,5000,nvme_std,network_8_balanced,200,97105865600,8738289600,88367576000,0,88367729600,9.88838,0,14.28,gpt_medium_sync_n50_sz5000MB_nvme_std_200iter_005255f88c,transformer_8dp_1pp_1tp_64B_2048S_32000V_2048d_2b_100scale_200iter
main,gpt_medium,checkfreq_like,100,500,nvme_std,network_8_balanced,200,88455111602,87535602,88367576000,0,88367729600,0.09888,0,16.94,gpt_medium_checkfreq_like_n100_sz500MB_nvme_std_200iter_bd94d0330a,transformer_8dp_1pp_1tp_64B_2048S_32000V_2048d_2b_100scale_200iter
main,gpt_medium,sync,100,500,nvme_std,network_8_balanced,200,88804637600,437061600,88367576000,0,88367729600,0.49442,0,14.49,gpt_medium_sync_n100_sz500MB_nvme_std_200iter_02c04eee62,transformer_8dp_1pp_1tp_64B_2048S_32000V_2048d_2b_100scale_200iter
main,gpt_medium,checkfreq_like,100,2000,nvme_std,network_8_balanced,200,88717255602,349679602,88367576000,0,88367729600,0.39554,0,15.0,gpt_medium_checkfreq_like_n100_sz2000MB_nvme_std_200iter_96dffac067,transformer_8dp_1pp_1tp_64B_2048S_32000V_2048d_2b_100scale_200iter
main,gpt_medium,sync,100,2000,nvme_std,network_8_balanced,200,90115357600,1747781600,88367576000,0,88367729600,1.97768,0,13.17,gpt_medium_sync_n100_sz2000MB_nvme_std_200iter_3a60d3c45f,transformer_8dp_1pp_1tp_64B_2048S_32000V_2048d_2b_100scale_200iter
main,gpt_medium,checkfreq_like,100,5000,nvme_std,network_8_balanced,200,89241543602,873967602,88367576000,0,88367729600,0.98884,0,12.16,gpt_medium_checkfreq_like_n100_sz5000MB_nvme_std_200iter_5c5e6cf243,transformer_8dp_1pp_1tp_64B_2048S_32000V_2048d_2b_100scale_200iter
main,gpt_medium,sync,100,5000,nvme_std,network_8_balanced,200,92736797600,4369221600,88367576000,0,88367729600,4.94419,0,12.04,gpt_medium_sync_n100_sz5000MB_nvme_std_200iter_6a39df7b94,transformer_8dp_1pp_1tp_64B_2048S_32000V_2048d_2b_100scale_200iter
network_sensitivity,bert,baseline,25,2000,nvme_std,network_8_fast,200,18664272800,153600,18664119200,0,18664272800,0.0,0,12.4,bert_base_200iter_4770be8574,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
network_sensitivity,bert,checkfreq_like,25,2000,nvme_std,network_8_fast,200,20062376808,1398257608,18664119200,0,18664272800,7.4908,0,12.34,bert_checkfreq_like_n25_sz2000MB_nvme_std_200iter_3722dd7d78,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
network_sensitivity,bert,sync,25,2000,nvme_std,network_8_fast,200,25654784800,6990665600,18664119200,0,18664272800,37.45397,0,13.0,bert_sync_n25_sz2000MB_nvme_std_200iter_afe25b5ab8,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
network_sensitivity,bert,baseline,25,2000,nvme_std,network_8_bw100,200,20627722400,153600,20627568800,0,20627722400,0.0,0,12.47,bert_base_200iter_4770be8574,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
network_sensitivity,bert,checkfreq_like,25,2000,nvme_std,network_8_bw100,200,22025826408,1398257608,20627568800,0,20627722400,6.77779,0,12.12,bert_checkfreq_like_n25_sz2000MB_nvme_std_200iter_3722dd7d78,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
network_sensitivity,bert,sync,25,2000,nvme_std,network_8_bw100,200,27618234400,6990665600,20627568800,0,20627722400,33.88892,0,12.58,bert_sync_n25_sz2000MB_nvme_std_200iter_afe25b5ab8,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
network_sensitivity,bert,baseline,25,2000,nvme_std,network_8_ring,200,19536360800,153600,19536207200,0,19536360800,0.0,0,11.95,bert_base_200iter_4770be8574,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
network_sensitivity,bert,checkfreq_like,25,2000,nvme_std,network_8_ring,200,20934464808,1398257608,19536207200,0,19536360800,7.15642,0,13.39,bert_checkfreq_like_n25_sz2000MB_nvme_std_200iter_3722dd7d78,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
network_sensitivity,bert,sync,25,2000,nvme_std,network_8_ring,200,26526872800,6990665600,19536207200,0,19536360800,35.78206,0,11.87,bert_sync_n25_sz2000MB_nvme_std_200iter_afe25b5ab8,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
storage_sensitivity,bert,checkfreq_like,25,2000,sata_slow,network_8_balanced,200,21264080808,2796353608,18467727200,0,18467880800,15.14088,0,12.01,bert_checkfreq_like_n25_sz2000MB_sata_slow_200iter_5b0d6d2f03,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
storage_sensitivity,bert,sync,25,2000,sata_slow,network_8_balanced,200,54818512800,36350785600,18467727200,0,18467880800,196.83164,0,11.9,bert_sync_n25_sz2000MB_sata_slow_200iter_9a6903aa85,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
storage_sensitivity,bert,checkfreq_like,25,2000,nvme_fast,network_8_balanced,200,19138968808,671241608,18467727200,0,18467880800,3.63381,0,11.73,bert_checkfreq_like_n25_sz2000MB_nvme_fast_200iter_44794ca973,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
storage_sensitivity,bert,sync,25,2000,nvme_fast,network_8_balanced,200,21535712800,3067985600,18467727200,0,18467880800,16.61172,0,11.73,bert_sync_n25_sz2000MB_nvme_fast_200iter_509b83c46f,transformer_8dp_1pp_1tp_64B_512S_30522V_1024d_2b_100scale_200iter
